accession	species	G2:C4 	G2:C5 	G3:C6 	G3:C7 	G3:C10 	G3:C10-2 	G3:C11 	G3:C11-2 	G3:C13 	G3:C14 	G3:C15 	G3:C15-2 	G3:C16 	G3:C16-2 	G3:C18 	G3:C19 	G3:C19-2 	G3:C20 	G3:C20-2 	G3:C21-2 	G3:C21 	G3:C22 	G3:C22-3 	G3:C22-2 	G4:21 	G4:C21 	G4:C21-2 	G4:22 	G4:C22 	G4:C23 	G4:C23-2 	G4:C24 	G4:C24-2 	G4:C32 	G5:C25 	S1:C27 	S2:C22 	S3:C12 	S3:C15 	S3:C17-2 	S3:C18 	S3:C18-2 	S3:C19 	S3:C19-2 	S3:C20 	S3:C20-2 	S3:C20-3 	S3:C21 	S3:C21-3 	S3:C21-2 	S3:C22 	S3:C22-2 	S3:C22-3 	S3:C23 	S3:C24 	S4:C16 	S4:C17 	S4:C17-2 	S4:C19 	S4:C19-2 	S4:C20 	S4:C20-2 	S4:C20-3 	S4:C21 	S4:C21-2 	S4:C21-3 	S4:C21-4 	S4:C22 	S4:C22-2 	S4:C22-3 	S4:C23-2 	S4:C24 	S5:C23 	S5:C23-2 	S5:C24 	S5:C25 	summed_glucose	summed_sucrose	summed_total
MM-lyc	lycopersium											0.569444444							0.539325843	0.994382022	0.53411306	0.752277854	0.247191011	3.544042721	4.410888473	5.110380117	16.28508772	5.110380117	15.47742132	3.587201853		7.117665418	1.031432749	13.0920642	3.257131804	44.35599415	1.264400859	1.451547408											0.41011236				0.548459163	7.400894277					0.807651072	0.559210526	0.894005848	0.449509804	22.6510383		26.15789474	141.4399295	38.46052632	25.35526316	75.29824561	6.828947368		16.62952559	16.26642683	57.53362573	16.93709344	0.387640449	51.88154555	126.0164249	509.6134939	635.6299188
LA4024-lyc	lycopersium																							0.660239765	0.600423225										2.429888198			0.446886447											0.381868132				0.357048748	9.850871441					1.004578755																			3.690551188	12.04125352	15.73180471
LA1578-pimp	pimpinellifolium											3.953505201												2.302958691	2.822378106	42.74419844	68.02772661	40.7543412	59.50049558	14.65390844		37.06526236	15.40388177	69.70319281	2.923665	321.9142054		0.897125963							5.521144279				0.598611111	1.985074627	1.985074627			11.19062917					16.87962882	7.940909091	0.331060606	19.05472637	49.41540923		104.0627591	418.8185444	139.341589	83.78458948	371.950004	25.91923701		66.73035957	104.3081311	315.9905318	78.36879057		296.2152415	681.7697196	2121.289171	2803.058891
LA1278-per	peruvianum			2.584848485		3.474242424	2.563636364	5.646212121	1.342424242													0.243010753	0.693518519	4.034545697	2.697272022	6.042419842	21.73964015	6.042419842	15.74375406	3.800610247		22.18358342	12.75767394	27.58349121	2.691333317	112.8176459	0.380555556	0.639418377						6.008333333				1.056818182						7.456734758			9.407575758		2.259848485			0.197695035	165.7757025		23.51520327	200.3127019	45.18847514	20.66049748	95.96543353	18.14727408	3.635606061	2.839393939	40.71499844	71.46830333	20.80670369	0.640151515	122.2447783	254.6822826	859.3222027	1114.004485
LA1954-per	peruvianum											1.778205128												2.252097944	2.338399573	22.24957695	64.77659441	22.24957695	53.16978785	10.93711423		37.37014371	28.8567277	59.4060522	1.48932011	241.4618455		3.161043898		2.35440613						8.298587428	1.262820513	0.75	1.377394636	1.356321839	1.356321839	9.775388405	2.254578755	75.50869227			4.408372279		0.57967033	3.61875921	0.822796935	1.84415393	87.6106321	6.282303903	72.87097342	471.271785	139.581983	65.58519948	213.9774674	16.6037851		6.767399267	53.9788415	209.6220486	45.70714286		225.7569062	548.3354423	1734.345776	2282.681218
LA1401-chee	cheesemani/gala											1.223636212												1.110110767	1.110780111	16.90182984	46.7101151	16.90182984	32.17811685	14.23479027		10.33480456	12.19200219	33.17859811	1.509737302	124.7818281		1.356713116																5.197105202					4.420348059	1.445782103	1.088353414		43.73415384		53.79174702	323.7987485	97.59144418	52.1019019	209.7792943	11.93410078		3.924679487	48.250251	177.15633	47.35220742		120.6438095	312.3681793	1203.56697	1515.935149
LA1364-huay	huaylasense					2.233686565	0.283743475					1.611856823												1.548194853	1.166129975	14.8890465	33.47379392	14.4913756	20.58367808	6.505193675		14.84761046	10.04438005	20.81543701	3.325149315	93.36702229	0.80878912	0.839090241									4.262019703			0.413157895	0.413157895		0.476315789	7.002616962			2.033929903		1.263222654	0.524235645	0.082401193		102.2521598		44.9183632	280.6351556	81.9949255	38.92320938	156.0011522	13.56127611	0.951754386	0.228933632	39.34743358	113.4153155	41.288803		72.49348501	239.1862986	1004.130904	1243.317202
CGN24193-neo	neorickii																							1.190244081	2.724700734	3.195488722	9.119047619	3.195488722	14.4047619	1.026315789	0.922619048	12.7070802	40.43734336	22.9664787	1.677448986	81.69273183	3.195861464	0.976133185				0.912280702										0.56091954	1.6	19.4625592									10.81704261		38.06516291	191.6671356	79.2443609	38.06516291	250.8641004	27.12406015			166.8709831	28.69548872		0.963659148	106.3659148	195.2597497	965.4508253	1160.710575
LA2133-neo	neorickii											2.045738148					0.758003766				1.987758945			1.882194617	1.218382052	10.86177405	26.73896287	9.964672597	20.98915909	5.095500696		12.12052701	9.04469798	17.03928571	3.705675321	92.08853651	0.516666667	0.139765611				0.552730697				0.821428571	0.509416196		0.798240166	3.233676352	3.233676352	7.214285714	5.580784235	47.63535139			1.661078359		1.033088235	2.037099812			41.99375023	0.821428571	26.64715087	182.7695783	57.97922588	25.51723369	133.778062	2.069565217			31.9258729	87.23768262	13.8557971		75.9721073	215.5408694	755.534743	971.0756124
LA2663-chmi	chmielewskii											0.418972332												1.339017263	0.610708535	13.58629776	41.87549407	13.58629776	16.11001318	4.360342556		7.46969697	10.17786561	23.40909091	3.445624965	101.1949934		1.311739548		0.916337286						6.675889328		0.316205534	1.550065876	5.451910408	5.451910408	14.09815547	10.21870634	133.64567		0.880105402				1.56455863			41.62657171	6.675889328	57.01581028	393.798419	105.3695652	57.01581028	240.4762846			1.048748353	39.91765481	165.6587615	66.06258235	0.29314888	92.59025033	237.5844153	1449.630751	1687.215166
LA2695-chmi	chmielewskii																		1.288235294					7.261215092	6.801030436										10.67568983		0.707119741	5.760291747		0.683006536						13.74074912		0.47124183	2.494771242	3.746552815	3.746552815	14.49577677	17.19607843	195.6508605		0.31372549						34.40261438		17.51918049														26.02617065	310.9285219	336.9546926
LA1840-chmi	chmielewskii											3.530575144												0.426130589	0.099181548	39.30064002	76.22209027	36.10272335	36.37830177	14.1798074		26.82027568	23.86357597	53.15164985	2.533380242	233.284982		1.633475018									0.372395833							2.779704573			2.529389881			4.01488427	2.136309524		95.98284587		97.36350291	551.4967668	149.4391947	73.98213348	329.6353924	18.48933026	0.832142857		57.68176467	337.3918805	106.3797185	1.25477707	232.1113711	545.8933138	2065.50698	2611.400294
LA0716-pen	pennellii	122.9077326	12.00428229				1.892660525	5.812278214	9.102361819	17.05366983	66.20583717	2417.767607	2.566052227	712.4571769	2204.363115	1553.684613	1868.229633	938.3550028	4.509014384		9766.208131	15.04534135	1.109726233	18.57070865	1.623410356	0.360983103		0.360983103	3.192749586						3.881389494	0.796530775	0.997301775				30.42088032	4823.818259	993.2442997		1071.56139		605.7255289	495.8519695	92.24746978	2062.013171	2033.512235	23.20437985	134.2787247	209.6510514	10.21785581		96.96475785	61.53458894	15.03190195		1.645833333	28.66551549	3.468665322			2.884653816			2.559663809		1.167888707	4.751567079	0.86383447	1.332565284	0.832698929		1.440897628	19748.06099	12809.88955	32557.95054
LA2172-arc	arcanum											1.883298354									0.454770756	0.454770756		0.482243016	0.358134204	4.847614262	11.96810371	3.762444771	6.577860975	2.038697549		3.603377726	3.962189922	8.943579004	3.337627199	30.75036658		0.689321128		1.463306789						3.662568306	1.620977817		6.308778719	3.996589561	3.568357058	14.33674863		69.78887867		0.759562842	1.578231293		3.051425031	0.711150652			36.29173247	3.662568306	12.89830011	107.8877781	29.32942913	12.04430907	52.16423181	5.736811629			13.54438655	36.78637801	3.243618598		27.46774761	83.42507878	452.5931879	536.0182667
PI134418-hab	habrochaites		14.82160474						1.442028986			1636.854056	18.50292235					20.2621869						2.773029347	2.659241758										1.387988678		2.326086957	3.860857809	0.822510823	274.2021871					3.342061924	1798.36411	3.148268398	61.9409344	240.5067492	434.5115833	417.9354964	993.071415	2712.513085	9241.16303		78.26422268								1418.875304								0.552						1698.703059	17685.3999	19384.10296
LYC4-hab	habrochaites		11.72995753						1.265100671			28281.89246	59.43092057	62.81280033				94.15789679						1.077410061	4.740323551	0.634408602		0.634408602							2.192310677	2.536670354	0.307522124		29.39340856	6146.98598					34.23386927	5653.548467		268.347856	2152.063496	3294.661746	3282.451195	1093.129506	1278.713187	21804.93394		635.8029194	0.886524823			0.391577061	0.391577061		10.28282811	6249.714493		7.16222451	0.765957447		0.531914894				2.387683541				5.533532353	28523.10467	51952.62141	80475.72607
LA1718-hab	habrochaites	79.1356732	148.879926	159.8028195	263.3876088	18.71071753	8.153496821		3.300181653			18.0532626					6.485632102	15.04934826	17.95769334		8.287994888	0.308743799		99.10117053	148.5566229	3.249810606		3.249810606							2.31713567	5.582970155	0.311080836	0.744670135		417.4194442		0.658946412			3.340788677	799.5033678	91.02235893		1368.520268	1051.437195	1051.320529	1988.511735	3004.499524	8395.034302		134.9833575	18.94504995		2.584922797	8.271794872	66.32483527	6377.68393	846.6427912	823.216543	2.192098093	176.649409	7.789065725	1.796548592	6.775019213		9.777929155	1.856948229	0.508048627			111.5397628	2.355801386	1009.570619	26772.21807	27781.78868
LA0407-hab	habrochaites		5.541299728						3.660086404			19.15654912						26.4409302	83.63567939		21.96494683	17.28653937		340.3845939	376.8747095										2.528797582		0.592173269			252.3061997					9.986982331	2243.087791		70.85027023	423.3289218	565.9528054	537.3319972	649.0057803	2603.245609	7175.345065	1.759180791	83.77151802				49.37243342	81.16988777	7410.013549	114.8267408	2274.708386		117.4450355												897.474132	24664.10033	25561.57446
LA1777-hab	habrochaites	70.01241199	14.48977392	623.5033544	41.75455481	1909.084386	1732.117261	227.292868	1711.692163			5.787770876					2.14220174							0.299586181	0.47589157	4.6283765	25.86379175	4.6283765	12.94235587	1.775749653		14.95195692	7.586676363	17.96102254	4.773372599	86.48478449		0.8391695		1.844974345	60.15665871		0.448598131	313.260617	300.7739806	0.601408451	3121.386815	488.4264338	6.970384922	1.851606667	1.851606667			20.26048537			6818.791988		4327.441061	61.85573325	89.46730385	4.498529412	33758.8237	4.18373738	226.5466598	22894.03243	138.2073267	72.37849292	7727.305238	85.67528862	3543.161664	2590.471334	0	60.95313619	10.81691176	667.2291046	72.91768298	6520.248687	87473.43006	93993.67875
PI127826-hab	habrochaites	45.63376551	129.140995	403.574036	221.2410857	0.418181818	8.195884354	0.886360544	130.1741723			54.49708895	0.985714286			0.508583691	1066.267012	6.618444974	263.1723605	406.3263079	1302.074629	854.3087062	1.499549421	208.0926936	258.4119428	5.000469628	0.730952381	4.336263597	0.225238095			1.739047619		1.739047619	2.157187215	21.80678197	1.704458302			22.02182948		30.80189204		3.329081633	16.42452788	1084.778243	2981.152708	399.6894759	3643.754708	258.7930741	258.7930741	186.6972396	448.8698942	967.1720747	1.858137148	0.835072553	512.2172229		2506.814294	92.92145877	117.9889043	2917.278622	157.1397534		71.32424226	399.164358		55.13443588	560.7203488	2.63	25.41911057	85.46479246		1.378571429		247.2168354	10.78610343	5399.762503	18070.27454	23470.03705