S4:C21	S4:C22	S3:C22	S4:C20-2	S4:C21-2	G3:C15	S4:C24	S3:C20	S3:C21	S4:C21-3	S4:C22-2	S5:C25	G3:C20	G3:C22	G3:C22-2	S3:C18	S3:C22-2	S3:C23	S4:C21_1	S5:C23	S5:C24	G3:C6	G4:C24	S3:C20-2	S3:C21-2	S4:C16	S4:C17	S4:C22-3	S4:C23-2	S5:C22	G3:C15-2	G3:C16	G3:C18	G3:C21	G3:C21-2	G4:C21	G4:C21-2	G4:C24-2	S3:C15	S3:C20-3	S3:C21-3	S3:C22-3	S4:C19	S4:C20_1	S4:C20-3	S4:C21_2	S4:C21-4	S4:C23_1	S5:C23_1	G2:C4	G2:C5	G3:C10	G3:C10-2	G3:C11	G3:C11-2	G3:C13	G3:C14	G3:C16-2	G3:C19	G3:C19-2	G3:C19-3	G3:C19-4	G3:C20-2	G3:C21-3	G3:C22-3	G3:C7	G4:21	G4:22	G4:32w	G4:C23-2	G4:C32	G5:C25	PutativeG3:C13	S1:C27	S2:C22	S3:C12	S3:C16	S3:C16-2	S3:C17	S3:C17-2	S3:C17-3	S3:C17-4	S3:C18-2	S3:C19	S3:C19-2	S3:C22-4	S3:C24	S4:C14	S4:C14_1	S4:C14_2	S4:C15	S4:C17-2	S4:C19-2	S4:C21_3	S4:C22_1	S5:C23_2	S5:C23-2	U441_4.35788333	U453_3.060883	U453_8.09785	U673_8.07986	U681_6.2632833
S hab LYC4	5.06141870459211	6.34325374977268	0	5.2983560036887	0	0	5.3809999631507	0	0	0	6.41485354985766	0	0	0	0	6.33484170880606	0	0	0	0	5.22045179262009	5.15467671190317	0	0	0	0	6.05306116667469	5.88880732832103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.62069547334456	5.5929081766985	4.75187177809799	5.6244060343565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.91468174189454	4.86386490548955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S hab LA1777	4.47450473012065	4.87556249493121	0	4.05485712112121	4.98046325241818	0	4.42072897202382	0	0	4.71382586913123	4.23340525894555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.56607137793604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.15355816281823	0	0	0	4.91861235864203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S hab PI134418	0	0	5.50505615121264	2.35874287022871	0	4.83689272795642	0	4.76213313874538	5.2132833319672	0	0	0	3.54919425451043	4.36493625992696	0	0	6.24729084889811	3.04089383857624	0	0	0	4.4117877126023	0	5.04611526213077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7679910543545	0	0	6.18343742907993	4.23770074868173	0	0	0	0	0	0	4.10897821086145	4.43802044305525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.67210918354131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.36272180627532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S hab LA0407	4.51422935815213	4.80921870958529	0	0	0	0	4.42530465003429	0	0	0	0	4.59659080974557	0	0	0	0	0	0	5.07413918919975	4.72635314071567	4.07008729242098	0	0	0	0	0	0	0	0	4.00413578762275	0	0	0	0	0	0	0	0	0	0	0	0	0	4.62395907128775	0	4.60430688548217	0	4.76106806721178	4.16924282625444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.34416331106455	0	0	0	0	0	0	0
S che LA1401	0	0	5.12247024952634	0	0	0	0	5.6611979625259	4.96271303658767	0	0	0	4.24763122441768	0	4.90117651879718	0	5.75993103703276	3.39638720945983	0	0	0	0	0	0	5.06085753241599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.17958208358497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.40883888209939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S pen LA0716	4.81745196681187	4.87769786731929	0	0	4.88404955908763	0	0	0	0	4.37998237318783	3.92603753126398	0	0	0	0	0	0	0	0	0	0	0	4.40431094533494	0	0	0	0	4.49629525886061	5.36082046617316	0	0	0	0	0	0	0	0	4.33473841347057	0	0	0	0	0	0	0	0	4.40553243760828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.70664864278336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S chm LA2695	4.63936547926355	4.64186844096575	0	0	0	0	0	0	0	0	0	4.60437859124384	0	0	0	4.58531483282079	0	0	4.52423113364947	0	0	0	0	0	0	4.62029059246504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.56167366617602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.53039741360278	4.00712861012015	4.41983776355189	4.59545768838541	0	0	0	0	0	0	0	0	0	0	0
S arc LA2172	5.25642216116106	4.95248343239821	0	0	0	0	0	0	0	0	0	4.81661233248337	0	0	0	0	0	0	4.72110444513449	4.88018032099552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.22671855371554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S per LA1278	0	0	6.27665451485931	0	0	5.27605626831964	0	5.33577639033456	4.6947322020221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.91163545224608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.10850628007849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.13176577416742	4.92879781431845	0	0
S neo LA0735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.78568526585584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S hab PI127826	4.65318671678556	4.99196663181757	0	4.32350303089467	5.08123998095313	0	4.32357290134859	0	0	4.49681828470217	0	4.65749597242471	0	0	0	0	0	0	0	4.97802061776956	4.32564355164511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.34585269687541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4774406521801	0	0	0	0	0
S hab LA1718	4.1607965591561	4.72839959515613	0	0	0	0	4.55842658181589	0	0	0	0	4.696375554591	0	0	0	0	0	0	5.11347867329073	4.38982992057028	4.46647739469425	0	0	0	0	0	0	0	0	4.47861116358624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.21162454551612	0	5.17380480084842	4.81943723115162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.24753478355162	0	4.39559511390811	0	0	0	0	0	0
S neo LA2133	0	0	4.09851793557369	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6593044764957	3.64390934745849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S pim LA1578	0	0	5.32719528285496	5.36034990470008	0	4.00147152701467	0	5.84488823485043	6.03401842530218	0	0	0	5.29595967773411	4.95604297480292	5.1529017156357	0	5.57371139943297	3.94816277615036	0	0	0	4.98691846760985	0	5.95934217837847	5.65669733065457	5.25959921054659	4.39872552235366	0	4.82388208028608	4.02594104337493	4.40697430129933	0	0	6.13707960338359	5.49117142669563	0	0	0	0	5.39460501959567	5.98689752865031	0	3.71842640465994	0	5.87878390427753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98900927580923	0	4.75847237492303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.88201903200408	4.44672974919312	0	0	0	0	0	0	0	0	0
S per LA1954	5.64906739196614	5.28976131763674	0	5.20662248553233	5.76027767915211	2.74212890993971	5.04368210595399	0	0	0	4.87202697511174	0	0	5.94025598871156	6.18732797484125	4.05448549839665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0721921539374	4.05115792001868	0	0	0	0	0	0	6.05676279590551	0	0	0	0	0	6.0721455389318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7490488237793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.24817376524185	0
S lyc MM	4.81885866531609	4.49370279598015	0	0	3.91607237993073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5381153789466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.65166018063189	0	3.03542690945727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S lyc LA4024	4.1075815924677	4.28039948296013	0	0	4.66023045577464	0	0	0	0	3.90855766019012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.82522805964678	3.50736029332069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42005008715021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S chm LA1840	0	0	4.83506051486615	0	0	5.82994397735246	0	4.91112161825084	4.17638830636279	0	0	0	5.2410203275097	5.08491073423214	5.34840447897153	6.13351290516767	0	0	0	0	0	0	0	5.22337625414699	5.15295979270571	4.43714476902948	4.24206842636155	0	0	0	0	5.29609820112379	5.64056287793467	5.88680537595719	6.41720306867689	0	0	0	0	5.1382443452823	5.8118883635356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.76642701246677	4.93550601740262	5.87000877677965	5.72056828533132	5.42541969250752	3.68161022320107	3.70683914786914	0	6.5513159847634	0	0	0	0	0	0	0	0	0	0	0	0	4.09827054913737	3.9559845119742	3.94142041216641	3.94027377769568	3.81933197437345	3.82724433130968	5.45387074574998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.38490396569344	0	0	0	4.80448952385048
S hua LA1364	4.46306739237217	3.76174051048371	4.44669024613818	4.29116448347306	5.00866011303705	4.24793008307524	0	0	0	4.1840541358831	4.69726433362507	0	0	0	0	0	0	0	0	0	0	0	3.85927761043321	0	0	0	0	4.44332257420776	0	0	0	0	0	0	0	4.14681153462048	3.68883214705054	4.11334528935768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
