sample	wf	thrips	S4:C20	S4:C23	S4:C21	S4:C22	S3:C22	S4:C20-2	S4:C21-2	G3:C15	S4:C24	S3:C20	S3:C21	S4:C21-3	S4:C22-2	S5:C25	G3:C20	G3:C22	G3:C22-2	S3:C18	S3:C22-2	S3:C23	S4:C21_1	S5:C23	S5:C24	G3:C6	G4:C24	S3:C20-2	S3:C21-2	S4:C16	S4:C17	S4:C22-3	S4:C23-2	S5:C22	G3:C15-2	G3:C16	G3:C18	G3:C21	G3:C21-2	G4:C21	G4:C21-2	G4:C24-2	S3:C15	S3:C20-3	S3:C21-3	S3:C22-3	S4:C19	S4:C20_1	S4:C20-3	S4:C21_2	S4:C21-4	S4:C23_1	S5:C23_1	G2:C4	G2:C5	G3:C10	G3:C10-2	G3:C11	G3:C11-2	G3:C13	G3:C14	G3:C16-2	G3:C19	G3:C19-2	G3:C19-3	G3:C19-4	G3:C20-2	G3:C21-3	G3:C22-3	G3:C7	G4:21	G4:22	G4:32w	G4:C23-2	G4:C32	G5:C25	PutativeG3:C13	S1:C27	S2:C22	S3:C12	S3:C16	S3:C16-2	S3:C17	S3:C17-2	S3:C17-3	S3:C17-4	S3:C18-2	S3:C19	S3:C19-2	S3:C22-4	S3:C24	S4:C14	S4:C14_1	S4:C14_2	S4:C15	S4:C17-2	S4:C19-2	S4:C21_3	S4:C22_1	S5:C23_2	S5:C23-2	U441_4.35788333	U453_3.060883	U453_8.09785	U673_8.07986	U681_6.2632833
S pen LA0716	toxic	toxic	0	470225.1939	65682.84669	75456.71031	0	0	76568.39772	0	0	0	0	23987.35559	8434.07641	0	0	0	0	0	0	0	0	0	0	0	25369.44377	0	0	0	0	31354.1664	229519.9635	0	0	0	0	0	0	0	0	21614.16256	0	0	0	0	0	0	0	0	25440.89805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5089.189738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S hab PI127826	toxic	toxic	29827.35962	261408.6034	44997.32709	98167.25152	0	21062.16598	120570.1999	0	21065.55479	0	0	31391.94933	0	45446.03226	0	0	0	0	0	0	0	95064.99239	21166.23198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22174.44184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30022.07131	0	0	0	0	0
S hab LYC4	toxic	toxic	2188739.426	546088.938	115191.0414	2204213.966	0	198772.3644	0	0	240436.2596	0	0	0	2599282.901	0	0	0	0	2161930.402	0	0	0	0	166131.4259	142783.0688	0	0	0	0	1129955.048	774118.2895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417537.4873	391659.0595	56477.02064	421120.1617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82164.03178	73091.16859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S hab LA1777	toxic	toxic	18721.15845	393274.681	29819.80026	75086.60959	0	11346.37469	95601.17992	0	26346.86657	0	0	51739.93385	17116.11749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36818.9482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14241.57964	0	0	0	82911.03921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S hab PI134418	toxic	toxic	1610356.543	0	0	0	319930.8731	228.4245985	0	68689.8753	0	57827.32976	163411.7692	0	0	0	3541.557151	23170.54558	0	0	1767220.94	1098.737225	0	0	0	25809.98265	0	111202.6821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58612.60913	0	0	1525588.58	17286.24837	0	0	0	0	0	0	12852.22177	27417.03226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47001.22569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23052.70041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S hab LA1718	toxic	toxic	13318.8201	232419.4165	14480.9335	53505.64394	0	0	0	0	36176.50286	0	0	0	0	49702.19336	0	0	0	0	0	0	129860.9792	24537.47785	29273.68496	0	0	0	0	0	0	0	0	30103.096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16278.88089	0	149212.3605	65983.78606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17682.13832	0	24865.38076	0	0	0	0	0	0
S per LA1954	toxic	non-toxic	63845.3479	201255.0166	445725.4088	194877.3286	0	160924.6175	575807.9797	552.2413346	110581.4056	0	0	0	74477.82325	0	0	871477.1184	1539316.678	11336.66983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11808.42985	11250.13982	0	0	0	0	0	0	1139627.173	0	0	0	0	0	1180716.246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5611.110531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17708.17337	0
S chm LA2695	toxic	toxic	205249.8174	14773.93947	43587.85317	43839.78756	0	0	0	0	0	0	0	0	0	40214.12201	0	0	0	38487.0685	0	0	33437.29476	0	0	0	0	0	0	41714.84099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36447.99696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33915.43671	10165.49685	26292.85604	39396.50433	0	0	0	0	0	0	0	0	0	0	0
S lyc LA4024	non-toxic	non-toxic	6819.493948	103075.2828	12810.95756	19072.1425	0	0	45733.08051	0	0	0	0	8101.354942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6686.94975	3216.327717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263.0571358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S arc LA2172	non-toxic	toxic	0	134000.8695	180477.1238	89636.19906	0	0	0	0	0	0	0	0	0	65555.98278	0	0	0	0	0	0	52614.37855	75889.26052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168546.0402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S hua LA1364	non-toxic	non-toxic	16871.71911	204043.3429	29044.73326	5777.507401	27969.85701	19550.79777	102014.079	17698.24012	0	0	0	15277.56485	49804.01252	0	0	0	0	0	0	0	0	0	0	0	7232.319614	0	0	0	0	27753.80766	0	0	0	0	0	0	0	14022.05075	4884.635338	12982.11014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S che LA1401	non-toxic	toxic	1592040.181	1746.474497	0	0	132577.6295	0	0	0	0	458350.7671	91772.60016	0	0	0	17686.06531	0	79648.30148	0	575348.5687	2491.07733	0	0	0	0	0	0	115042.2938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1512105.467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256.3532821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S chm LA1840	non-toxic	non-toxic	0	0	0	0	68400.69506	0	0	675995.7684	0	81493.24628	15010.26316	0	0	0	174188.8402	121593.6049	223051.1563	1359918.573	0	0	0	0	0	0	0	167253.9003	142219.7113	27361.80661	17460.97242	0	0	0	0	197741.6716	437081.956	770558.075	2613383.042	0	0	0	0	137481.5264	648467.7219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5840.190486	86199.75221	741325.2228	525494.6336	266329.7568	4804.079915	5091.422622	0	3558901.636	0	0	0	0	0	0	0	0	0	0	0	0	12539.22078	9036.172479	8738.168442	8715.128154	6596.779599	6718.067008	284361.4668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2426073.565	0	0	0	63751.37026
S hab LA0407	non-toxic	toxic	19746.60278	224319.345	32676.03542	64449.37492	0	0	0	0	26625.92167	0	0	0	0	39499.42829	0	0	0	0	0	0	118614.8842	53254.11119	11751.33731	0	0	0	0	0	0	0	0	10095.68491	0	0	0	0	0	0	0	0	0	0	0	0	0	42068.69802	0	40207.48286	0	57685.68674	14765.31873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22088.35182	0	0	0	0	0	0	0
S pim LA1578	non-toxic	toxic	12954.7829	108201.6497	0	0	212419.9405	229271.4115	0	10033.94063	0	699661.9157	1081479.833	0	0	0	197678.6096	90373.88971	142200.6939	0	374723.9052	8874.885857	0	0	0	97032.77854	0	910630.4711	453625.365	181802.2319	25045.25872	0	66662.57423	10615.51439	25525.50255	0	0	1371133.063	309864.2168	0	0	0	0	248087.5782	970281.0034	0	5229.093467	0	756456.4047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97501.04621	0	57341.93907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	762112.4072	27972.40124	0	0	0	0	0	0	0	0	0
S neo LA2133	non-toxic	toxic	54558.77627	0	0	0	12546.36551	0	0	0	0	0	0	0	0	0	0	0	0	0	45635.67478	4404.629138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S per LA1278	non-toxic	toxic	0	0	0	0	1890838.841	0	0	188823.5978	0	216658.8284	49514.47767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8158.972179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1283.826335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13544.58722	84878.52313	0	0
S lyc MM	non-toxic	non-toxic	9980.651501	134124.0014	65895.94118	31167.55941	0	0	8242.754781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3452.354458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4483.944006	0	1084.992933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S neo LA0735	non-toxic	toxic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	610.4994343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0