line	8.082_57.0693	8.234_91.0527	8.396_93.072	11.349_91.0532	11.385_119.0842	11.709_91.0533	11.756_91.0533	12.101_91.0533	12.122_91.0533	12.372_91.053	12.461_91.053	12.524_91.0533	12.702_105.0689	12.771_119.0849	12.824_145.0999	12.875_119.0843	12.948_119.0842	12.99_119.0846	13.083_119.0842	13.132_119.0842	13.175_119.0842	13.273_91.0532	13.429_91.0532	13.494_91.053	13.63_157.0994	13.76_91.0532	13.943_91.0532	14.293_91.0529	14.533_91.0532	14.625_91.0532	14.764_91.0531	14.947_91.0532	15.13_119.0842	15.404_91.0532	15.547_91.0532	16.005_91.0532	16.083_91.0532	16.144_91.0532	17.718_91.0532
102	0	9.857077011	0	76.27500068	0	86.91438539	146.2915398	0	48.54219274	102.4431932	10213.14436	98.14050088	36.02526955	108.6625394	309.7547335	68.09988522	0	0	10.87407702	0	15.80261553	0	644.9735827	56.16969281	84.33276998	0	36.22084648	164.2063861	351.9602339	94.65923161	7.940423148	0	0.547615389	0	5.710846205	1.721076938	0	0	6.688730829
151	0	55.68128712	12.23764552	70.85596756	0	23.37390294	48.70582917	47.29849994	0	0	230.2513005	44.36146501	97.1057172	320.2591833	620.8769455	0	13.46141007	48.95058208	0	0	41.2408654	0	400.3545732	129.841419	13.95091589	0	13.70616298	119.4394203	781.1289136	318.6682893	10.83031629	0	14.92992753	0	0	41.60799477	0	0	37.26363061
200	18.14855429	52.73221556	0	279.5366917	0	147.9159627	274.3613815	42.48649993	91.72188422	138.6493599	20616.37303	171.9391936	224.0419795	368.2163328	805.1454	151.8673821	0.699366254	64.06194887	9.931000808	3.811546085	57.76765259	0	2019.245217	134.2083842	120.8504887	0	802.802523	861.4793518	846.1632308	247.5756539	20.17671643	0	10.91011356	0	0	10.49049381	0	0	30.52733699
201	47.06241488	151.0331352	0	41.92747672	0	89.60231541	83.19542009	185.3759785	43.48209102	10.69386204	8871.901183	79.75642481	569.7896976	116.4547443	1723.219293	22.75390029	0	154.7076781	45.97889582	7.773071526	97.89359171	5.229157209	4011.988427	268.5242891	968.1007265	0	33.82463852	1400.000846	1665.321688	538.8387401	31.70470992	8.008619148	0.942190488	0	3.862981001	19.314905	0.094219049	0	180.3823689
211	43.25706093	0	0	17.20616055	56.21001325	15.3695479	53.16510282	14.45124158	0	0	4200.768101	32.14072125	41.9037674	1.739948819	241.9012178	0	5.606501751	89.80069185	19.13943701	0.724978675	82.06758598	5.944825133	868.0894652	174.0915458	137.1659653	0	26.09923229	208.1172116	1391.089081	219.3302151	7.491446306	0	1.546621173	0	0	5.509837928	0	0	0
256	404.1376893	226.5168791	170.2904276	81.84251393	63.87904876	402.6071699	378.6021806	316.3342049	128.9664024	83.53414069	32494.78073	60.97911717	818.6668002	2142.40502	2995.709892	77.7342775	15.30519453	568.2254855	145.1576871	67.74562422	412.7569305	0	3842.97324	1089.568743	821.3250709	0	185.4345148	1154.172775	6995.76276	1605.59546	46.80167381	0	0	105.203074	0	6.444292435	0	0	87.07850153
258	3641.305305	718.5698593	140.4280661	137.2087666	0	92.80463501	51.06475132	1249.143727	26.69798411	155.0259244	8316.283289	61.22219642	2659.529956	1310.143902	4879.070473	0	0.444041316	1346.888321	668.6152113	318.9881803	2831.42945	68.10483682	59031.6851	7097.667403	13119.75573	0	1474.328179	28918.52372	49440.00415	5557.066057	231.0679997	1.998185921	322.8180366	1847.877936	41.18483204	17.31761132	0	0	162.1305854
286	14.29640714	153.4809686	2.629224302	0	0	393.3976861	396.6842165	1.47893867	0	641.3664031	10843.74265	308.7695289	335.0617719	980.7006645	1629.626087	0	13.14612151	267.1949196	10.84555024	0	0	0	3129.598551	367.7627492	659.2779936	0	36.80914022	518.9431465	2073.472015	784.494801	31.71501814	0	64.41599539	0	0	31.22203858	0	0	152.0020299
290	83.24119488	169.7839741	19.1491891	0	0	0	0	197.9712503	0	190.872844	1382.992405	40.89837587	192.1109381	1207.14177	2138.22982	0	6.355549832	1085.973625	39.04123468	57.73645594	163.5935035	0	2814.146672	203.6252135	471.0535441	41.2285343	49.60630453	1030.17685	1676.627062	1145.402143	26.94918208	29.1364817	19.72696636	10.0698322	17.66347616	4.704757668	4.704757668	0	177.9141255
292	1377.972543	154.1733205	8.534396606	0	0	0	186.8700348	195.6815222	0	71.43400795	7932.389136	1.717962953	523.0920101	135.2203099	1198.86105	0	140.8729622	241.7340129	334.3931761	183.3786907	1135.850603	30.867915	21195.06313	3431.935799	5937.723311	0.498763438	719.1060413	9472.626051	25359.9041	2922.199565	115.6576995	13.52203099	96.76010697	738.2807245	0	21.83475495	0	0	1950.885479
294	1554.390413	271.4057559	103.8011741	88.78860763	473.9145549	9.865400848	105.516896	1029.272283	10.56241286	0	1069.806213	22.89416392	1573.585052	529.6218999	1812.070394	48.52275961	3.216978537	569.8341316	378.8528391	185.3515801	1340.086026	49.27338793	31563.43854	3244.966251	7847.819142	0	756.4188868	16170.14262	23643.39823	3446.992503	277.142701	16.08489269	157.0957852	980.320593	9.007539905	0	0	0	3028.517211
295	44.13160912	0	3.464019554	74.5457008	141.9555213	55.56287364	227.6553651	16.83513503	25.70302509	527.2930565	22459.52502	127.2680784	51.33676979	59.58113633	304.6258796	0	20.09131341	233.7520395	0	7.413001845	45.30937576	0	13966.85756	94.49845343	2036.150694	0	3263.660663	4105.417414	1114.721492	391.2956488	78.77180465	0	0	61.93666962	0	33.25458772	0	0	287.0286602
303	18.15900539	2.015334702	0	161.6046514	0	142.0391104	0	5.68912192	126.3572872	296.9889587	20661.52626	140.422644	49.56463783	37.28369199	71.52338886	179.217837	0.713764374	23.38627977	0	0	73.81163347	32.6862097	61725.2304	106.9386976	7699.628216	5.899052618	18962.15825	18784.97675	1670.58651	667.4536617	268.2704392	7.179629877	185.9985986	303.7697202	4.660461499	1.13362577	0	0	172.0801933
324	44.31189025	46.42198027	28.82462583	100.6473123	138.2706153	216.1846937	221.5196383	63.18326131	54.8225273	146.8702274	17240.03259	129.1136209	83.48790104	1.114764535	570.1622465	0	7.325595514	36.86685568	25.6395843	0	83.36846199	8.480173067	16950.83082	241.9835301	2621.528055	0	852.2374868	5760.864237	1712.835708	680.6433745	89.53947995	10.431011	70.4690438	14.57156499	0	7.644099666	0	0	457.9691587
346	88.57223621	0	2.107722225	101.3622779	39.13656949	0	111.6134723	57.62704173	21.89156947	114.056514	4646.904769	62.80054174	73.43495841	0	329.3315976	107.2543196	0.479027778	18.49047224	77.7941112	26.10701392	129.5291113	0	2175.504655	203.7784169	431.6998338	9.915875011	33.72355559	647.6455563	2311.692253	463.6988894	236.5918197	9.388944455	4.311250005	17.34080557	0.095805556	11.49666668	0	0	679.7883202
366	64.74997693	204.9999269	49.92855364	23.99999145	69.10711823	0	99.14282181	314.7498878	20.10713569	105.7499623	509.0355329	94.67853769	644.1783419	194.928502	1686.392256	215.5356375	1.642856557	636.1426304	130.4999535	68.32140422	506.1426768	25.60713373	17062.60106	1366.070942	3169.49887	0	6688.854759	7822.14007	8913.996823	1704.285107	146.6785192	0	88.64282555	274.5713307	1.07142819	26.64284765	0	0	459.1784078
373	2888.040729	218.8586453	56.66760033	123.6933302	142.963767	123.1322648	209.1910577	418.4036949	77.10332672	202.0482642	16441.73954	139.554216	564.3238447	283.2948428	953.5737208	65.62306649	5.653812371	281.6116467	458.9514561	350.8600585	2476.628772	93.50369848	68517.92632	8070.579785	18405.70564	0	1904.040003	28992.49088	86350.46054	6074.870336	484.652565	0	273.7998907	814.4079346	10.61708277	9.4517932	0	0	3616.130918
376	2217.949455	263.387702	0	153.2678185	273.5129076	54.79523046	196.283398	349.74975	21.90485662	23.6254798	5202.965959	28.25792682	1091.073629	390.052039	3430.988796	0	5.029513907	427.7733933	597.056243	341.4113453	2231.912974	103.5682798	24498.96077	6779.255324	5607.77565	9.595783111	1139.317255	9934.216455	48404.04184	6278.156912	309.1165718	5.161869536	0	1081.080779	0	12.17671788	0	0	634.4467082
396	462.4952369	58.99104592	13.04871062	146.9067337	206.6861392	121.026791	280.1123213	173.7925145	78.97188405	287.9687324	19096.81517	190.3752509	488.0489619	161.314685	714.1178734	110.071311	2.881590261	219.5989258	146.1999285	56.35411898	408.2071638	14.598245	11112.09167	1130.888254	2150.536249	3.126253585	140.9804443	4098.654375	9376.151014	985.6669783	74.18735682	0	52.68416912	189.9131091	0	4.132091696	0	0	693.6748934
400	1.922494875	0	0	263.3561646	461.783269	142.674753	274.7373343	0	90.71612484	419.0782495	17865.12968	184.0212094	31.45201616	0.25633265	63.44233088	135.3180059	17.07175449	89.66516098	20.35281241	0	135.4974388	60.93027091	50706.4688	43.98668274	24845.75983	0	179.3815885	54098.44185	3850.987934	2296.381678	656.0321512	7.792512561	518.2533518	211.9871016	4.1013224	0.30759918	0	0	1104.870621
432	271.5032687	60.71807914	0.027649399	101.8603841	150.2883056	107.0031723	256.0334303	127.1734085	73.61652355	278.111475	16842.61728	183.4399345	474.9198936	231.5360632	477.9060287	137.9013751	7.07824602	303.1756547	72.55202171	35.3774054	291.8947001	8.170397262	7595.16535	995.6548406	1293.991851	0	115.795681	2426.290019	7176.871425	423.6993829	41.51557187	1.29952173	24.85680927	120.4131305	0	1.963107295	0	0	229.8632746
445	127.5337262	113.8469006	2.748818526	7.44471684	0	30.6951402	193.5626379	84.1253003	37.85352178	140.9342165	13527.68044	144.3702397	292.80644	24.85390084	1339.762696	32.92855526	2.63428442	60.81760988	58.52692778	22.04781526	145.0001772	3.607824315	1182.736438	329.4000867	193.5626379	14.37403021	58.18332546	350.1307597	2354.70667	619.8585775	232.1033643	3.206954947	18.66905915	0	0	21.53241178	0	0	35.67737378
F1	79.55043436	79.89883042	20.20697165	7194.378699	8022.129033	0	42.65916237	108.9705463	1.277452231	90.77652972	300.6658023	36.42674391	322.9631503	54.96915659	1062.569281	19.08436211	1.083898862	119.3062962	41.7301062	11.96159816	99.95095937	0	1569.059735	188.0564526	243.877244	0	41.26557811	554.8013748	1494.773952	462.1280221	26.90391819	0	0	3.716224671	3.17427524	0	0	0	297.1044203
Elite	5.466622957	11.01723307	11.28037133	288.2616575	1068.462424	107.5657326	291.3430997	0.655726609	127.1611467	1162.357776	0	464.8699758	10.14726067	41.03153192	105.7043207	366.4627851	17.18556797	7.634710978	0.635027225	0.449152921	370.5545537	6.141123937	28.20125113	17.44829464	5.948212145	9.128842105	16.58321245	71.9355272	42.95129397	184.5628797	70.21191654	15.33924322	16.2958214	3.223025766	15.65448165	9.952170637	18.90872251	2.574795315	13.52766403
PI127826	3472.86236	913.1159962	186.852126	491.4370616	1576.297311	193.4957571	407.8806238	2375.130075	86.33526437	233.3256035	23345.81567	263.6052301	2424.382379	1326.107106	4600.490985	288.7743711	12.4568084	26872.59365	910.1774671	417.878011	3754.034884	218.0580281	152387.6826	8064.346115	54139.52514	0	67689.53027	105262.0752	93230.65081	11629.10139	897.1137885	0	606.0396989	3338.744057	100.1655157	0	0	11.40277077	16010.48031
